,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
91,6639,25,13.0,111.0,15,10.0,24,24.0,2008,0.161531741,B,B,25,5648,19,30.0,13,15,B
92,6283,25,13.0,112.0,36,10.0,25,10.0,107,0.035145267,B,B,25,9292,23,2620.0,22,23,B
93,6257,62,19.0,113.0,unknown,22.0,25,22.0,1977,0.072157581,B,B,13,629,19,unknown,22,22,A
94,15235,139,19.0,114.0,38,25.0,14,23.0,26,0.122090347,B,B,29,6566,25,1894.0,15,22,B
95,902,12,23.0,115.0,unknown,22.0,13,22.0,1977,0.07542368,B,B,21,3097,22,unknown,22,22,B
96,8932,25,23.0,116.0,40,18.0,18,25.0,33,0.13012277,B,B,14,1986,22,unknown,22,22,B
97,16469,93,23.0,117.0,41,23.0,14,25.0,2009,0.041116354,B,B,53,14892,15,unknown,19,15,B
98,2825,14,13.0,118.0,25,17.0,10,22.0,2005,0.43788524,B,B,23,5735,23,1084.0,22,10,B
99,6450,20,23.0,119.0,43,10.0,18,25.0,2000,0.019508796,B,B,37,7687,21,176.0,10,10,B
100,11366,18,13.0,120.0,44,17.0,25,25.0,2017,0.243204519,B,B,10,1564,22,540.0,22,22,B
101,3801,78,23.0,121.0,22,17.0,18,24.0,2001,0.092290642,B,B,21,4346,13,165.0,19,13,B
102,11385,148,19.0,122.0,10,25.0,17,23.0,26,0.313924552,B,B,22,4625,21,3855.0,13,17,B
103,1079,10,19.0,123.0,13,17.0,25,22.0,1995,0.069753361,B,B,53,13670,15,unknown,19,21,B
104,3202,191,13.0,124.0,24,25.0,25,17.0,1985,0.127375905,B,B,43,8429,23,unknown,23,25,B
105,676,85,23.0,125.0,49,18.0,14,25.0,1978,0.037177818,B,B,52,11217,19,2300.0,19,25,B
106,6185,37,13.0,126.0,25,25.0,10,17.0,2018,0.178916796,B,B,18,3594,15,192.0,19,10,B
107,7730,18,19.0,127.0,51,14.0,13,24.0,1988,22.0,B,B,30,5562,22,unknown,22,10,A
108,2573,12,13.0,128.0,unknown,19.0,17,25.0,1977,0.017647053,B,B,13,469,22,unknown,22,22,B
109,10978,19,13.0,129.0,unknown,19.0,14,25.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
110,10962,25,23.0,130.0,54,17.0,25,24.0,1992,0.161531741,B,B,25,5648,19,30.0,13,15,B
111,8870,151,19.0,131.0,55,17.0,14,23.0,69,0.236108458,B,B,17,3893,12,unknown,23,17,B
112,8496,128,19.0,132.0,56,25.0,10,25.0,1995,22.0,B,B,12,4798,22,30.0,13,14,B
113,5517,31,19.0,133.0,57,15.0,13,15.0,110,0.151346216,B,A,23,5889,17,830.0,15,19,B
114,927,10,19.0,134.0,58,25.0,14,17.0,1986,0.133215333,B,B,49,11395,23,1406.0,23,15,A
115,13675,78,19.0,135.0,59,17.0,19,22.0,2006,0.219006007,B,B,23,6746,23,unknown,19,15,B
116,1499,12,23.0,136.0,19,19.0,25,23.0,2016,0.072157581,B,B,13,629,19,unknown,22,22,A
117,15536,124,23.0,137.0,36,25.0,15,23.0,33,0.16909109,B,B,19,3856,17,unknown,13,10,B
118,8602,114,23.0,138.0,62,18.0,18,25.0,1977,0.327018035,B,B,23,2270,23,2500.0,19,22,B
119,12137,124,23.0,139.0,63,23.0,23,21.0,2005,0.122090347,B,B,29,6566,25,1894.0,15,22,B
120,9865,36,13.0,140.0,64,21.0,19,17.0,1982,0.300322518,B,B,52,10311,18,unknown,19,25,B
121,16353,53,13.0,141.0,unknown,19.0,25,22.0,2016,0.049637257,B,B,10,7759,22,229.0,19,23,B
122,15908,36,13.0,142.0,66,18.0,25,23.0,1977,0.300322518,B,B,52,10311,18,unknown,19,25,B
123,3944,101,13.0,143.0,67,18.0,15,10.0,107,0.225824954,A,B,41,6558,25,1548.0,23,13,B
124,10359,10,13.0,144.0,68,18.0,18,25.0,26,22.0,B,B,13,11319,22,1145.0,23,10,B
125,15158,53,13.0,145.0,69,18.0,17,25.0,75,0.049637257,B,B,10,7759,22,229.0,19,23,B
126,3259,23,13.0,146.0,70,17.0,25,17.0,1981,0.090799103,B,B,74,19083,13,unknown,10,10,B
127,7220,96,23.0,147.0,71,17.0,17,25.0,2003,0.041116354,B,B,53,14892,15,unknown,19,15,B
128,13843,67,13.0,148.0,72,18.0,10,23.0,1980,0.100455735,B,B,43,7227,22,unknown,19,18,A
129,16736,44,13.0,149.0,73,10.0,15,10.0,155,0.122190486,B,B,25,4724,13,1308.0,19,23,B
130,702,10,23.0,150.0,74,18.0,25,25.0,156,22.0,B,B,13,11319,22,1145.0,23,10,B
131,16401,30,19.0,10.0,75,19.0,13,19.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,23,23,B
132,12134,52,13.0,17.0,unknown,19.0,23,17.0,2015,0.371148999,B,B,10,7065,19,750.0,13,10,B
133,6918,23,23.0,25.0,unknown,19.0,18,25.0,1977,0.014072961,B,B,13,475,22,unknown,22,22,B
134,11792,18,19.0,18.0,78,10.0,21,25.0,1977,0.243204519,B,B,10,1564,22,540.0,22,22,B
135,3798,30,13.0,19.0,79,19.0,15,19.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,23,23,B
136,10395,18,19.0,20.0,unknown,19.0,14,19.0,1977,0.243204519,B,B,10,1564,22,540.0,22,22,B
137,11099,19,19.0,21.0,10,25.0,10,25.0,2010,0.025609157,B,B,23,5261,22,240.0,23,19,B
138,7090,94,13.0,22.0,17,10.0,10,10.0,1977,0.282797669,B,B,23,8667,13,unknown,22,18,B
139,11260,10,13.0,23.0,25,10.0,15,10.0,69,22.0,B,B,13,11319,22,1145.0,23,10,B
140,9647,62,23.0,24.0,unknown,19.0,10,23.0,1977,0.072157581,B,B,13,629,19,unknown,22,22,A
141,2903,25,23.0,25.0,unknown,19.0,23,24.0,1977,0.069753361,B,B,53,13670,15,unknown,19,21,B
142,2071,101,13.0,24.0,20,10.0,10,10.0,69,0.225824954,A,B,41,6558,25,1548.0,23,13,B
143,8604,119,23.0,12.0,21,18.0,19,25.0,169,0.033493708,B,B,66,10573,19,1322.0,23,14,B
144,9346,125,13.0,23.0,22,10.0,25,10.0,59,0.040242764,B,B,25,3478,21,2729.0,23,19,B
145,3945,128,13.0,29.0,23,18.0,14,25.0,52,22.0,B,B,12,4798,22,30.0,13,14,B
146,3420,25,19.0,30.0,24,14.0,21,24.0,2010,0.31019913,B,B,21,2748,19,unknown,22,22,B
147,10842,18,19.0,31.0,unknown,19.0,25,25.0,1977,0.243204519,B,B,10,1564,22,540.0,22,22,B
148,725,58,13.0,23.0,24,18.0,18,24.0,52,0.31019913,B,B,21,2748,19,unknown,22,22,B
149,13931,138,13.0,23.0,12,10.0,15,10.0,96,22.0,B,B,36,6714,13,2672.0,22,13,B
150,16330,122,13.0,10.0,23,25.0,10,25.0,1996,0.033493708,B,B,66,10573,19,1322.0,23,14,B
151,9066,59,23.0,15.0,29,17.0,14,25.0,1987,0.019508796,B,B,37,7687,21,176.0,10,10,B
152,3326,10,23.0,36.0,30,17.0,18,25.0,1977,0.090799103,B,B,74,19083,13,unknown,10,10,B
153,1556,10,13.0,37.0,unknown,19.0,10,19.0,1977,0.069753361,B,B,53,13670,15,unknown,19,21,B
154,6579,23,13.0,38.0,23,10.0,19,13.0,180,0.034656082,B,B,22,168,22,unknown,22,22,B
155,13877,12,13.0,14.0,23,17.0,13,10.0,2015,0.07542368,B,B,21,3097,22,unknown,22,22,B
156,9857,10,23.0,40.0,10,17.0,25,17.0,2002,0.069753361,B,B,53,13670,15,unknown,19,21,B
157,7302,62,23.0,41.0,15,14.0,17,25.0,180,0.002211665,B,B,14,7614,23,unknown,19,10,A
158,5684,114,19.0,25.0,36,25.0,18,14.0,69,0.050272014,B,B,21,4231,24,1020.0,22,23,B
159,6513,88,23.0,43.0,37,18.0,23,23.0,33,0.127375905,B,B,43,8429,23,unknown,23,25,B
160,11342,12,19.0,44.0,38,14.0,17,25.0,1977,0.011654127,B,B,15,915,22,unknown,22,22,B
161,16561,21,23.0,22.0,14,10.0,25,25.0,180,0.194489265,B,B,13,8004,23,125.0,23,10,B
162,6885,14,13.0,10.0,40,10.0,10,10.0,180,0.428825818,B,B,25,5011,14,730.0,22,13,B
163,9308,53,19.0,13.0,41,18.0,10,25.0,180,0.313924552,B,B,22,4625,21,3855.0,13,17,B
164,2559,23,13.0,24.0,unknown,22.0,25,22.0,1977,0.075778755,B,B,18,1437,23,unknown,22,13,B
165,6648,23,19.0,49.0,43,14.0,18,25.0,1992,0.090799103,B,B,74,19083,13,unknown,10,10,B
166,15260,118,19.0,25.0,44,18.0,23,10.0,101,0.21843974,B,B,21,4472,18,1450.0,15,25,A
167,5113,41,19.0,51.0,22,25.0,10,24.0,2004,0.175054867,B,B,36,10055,23,unknown,19,22,B
168,16492,88,19.0,52.0,unknown,22.0,18,22.0,1977,0.127375905,B,B,43,8429,23,unknown,23,25,B
169,12034,53,13.0,53.0,13,17.0,17,24.0,2019,0.049637257,B,B,10,7759,22,229.0,19,23,B
170,7248,37,13.0,54.0,24,10.0,25,24.0,196,0.178916796,B,B,18,3594,15,192.0,19,10,B
171,2171,66,13.0,55.0,49,15.0,23,10.0,77,0.161975568,B,A,31,7010,10,4508.0,23,25,B
172,10594,25,13.0,56.0,25,14.0,17,17.0,2008,0.13012277,B,B,14,1986,22,unknown,22,22,B
173,13241,36,19.0,57.0,51,17.0,18,22.0,1998,0.300322518,B,B,52,10311,18,unknown,19,25,B
174,7032,10,19.0,58.0,52,10.0,13,10.0,59,0.133215333,B,B,49,11395,23,1406.0,23,15,A
175,4884,29,19.0,59.0,53,14.0,13,24.0,1977,0.069660344,B,B,31,6119,15,unknown,19,13,B
176,903,10,13.0,19.0,54,13.0,18,24.0,2009,0.158249043,B,B,21,5731,22,unknown,19,22,B
177,162,14,19.0,36.0,55,25.0,24,10.0,1977,0.092290642,B,B,21,4346,13,165.0,19,13,B
178,6566,75,13.0,62.0,56,25.0,18,10.0,204,0.122090347,B,B,29,6566,25,1894.0,15,22,B
179,8249,58,19.0,63.0,57,14.0,17,17.0,2005,0.31019913,B,B,21,2748,19,unknown,22,22,B
180,13106,93,23.0,64.0,58,10.0,19,25.0,196,0.521867054,B,B,25,6149,22,unknown,22,22,B
181,256,18,19.0,65.0,59,19.0,25,19.0,1977,0.243204519,B,B,10,1564,22,540.0,22,22,B
182,7976,23,13.0,66.0,unknown,19.0,17,25.0,1977,0.075778755,B,B,18,1437,23,unknown,22,13,B
183,8575,30,13.0,67.0,36,19.0,25,25.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,23,23,B
184,7591,170,23.0,68.0,62,18.0,15,25.0,59,0.21843974,B,B,21,4472,18,1450.0,15,25,A
185,3204,128,13.0,69.0,unknown,22.0,13,23.0,1977,22.0,B,B,12,4798,22,30.0,13,14,B
186,15804,23,13.0,70.0,64,10.0,15,10.0,96,0.118537385,B,B,30,6207,19,1183.0,19,22,B
187,1525,10,23.0,71.0,65,17.0,23,25.0,1993,0.069753361,B,B,53,13670,15,unknown,19,21,B
188,9038,19,13.0,72.0,unknown,19.0,10,25.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
189,13628,44,13.0,73.0,67,10.0,25,10.0,156,0.122190486,B,B,25,4724,13,1308.0,19,23,B
190,10016,44,13.0,74.0,68,18.0,19,25.0,1976,0.122190486,B,B,25,4724,13,1308.0,19,23,B
191,10208,21,23.0,75.0,69,10.0,10,10.0,59,0.038692987,B,B,23,6533,19,1015.0,13,10,B
192,2008,94,13.0,76.0,70,10.0,25,25.0,180,0.127375905,B,B,43,8429,23,unknown,23,25,B
193,13029,90,13.0,77.0,71,25.0,21,23.0,26,0.265088676,B,B,37,5288,22,1937.0,23,13,B
194,5099,18,19.0,78.0,unknown,22.0,18,22.0,1977,0.243204519,B,B,10,1564,22,540.0,22,22,B
195,9923,23,23.0,79.0,73,17.0,25,25.0,1987,0.090799103,B,B,74,19083,13,unknown,10,10,B
196,9461,57,19.0,80.0,74,18.0,13,25.0,1979,0.407276235,A,B,25,1768,22,370.0,22,22,A
197,11086,21,13.0,81.0,75,10.0,25,14.0,59,0.149666373,B,B,22,4789,13,4087.0,15,19,B
198,15057,178,13.0,82.0,76,25.0,15,10.0,224,0.212515361,B,B,19,3293,17,628.0,23,25,B
199,10689,30,13.0,83.0,unknown,19.0,14,25.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,23,23,B
200,2053,14,23.0,84.0,78,18.0,18,25.0,75,0.43788524,B,B,23,5735,23,1084.0,22,10,B
201,16630,72,19.0,85.0,79,25.0,18,25.0,75,0.210473241,B,B,21,2398,13,1994.0,23,22,B
202,4985,23,13.0,86.0,unknown,19.0,15,25.0,1977,0.075778755,B,B,18,1437,23,unknown,22,13,B
203,13881,58,23.0,87.0,10,25.0,10,24.0,156,0.1489038909999999,B,B,25,731,19,1430.0,23,13,B
204,13225,88,19.0,88.0,unknown,22.0,18,22.0,1977,0.127375905,B,B,43,8429,23,unknown,23,25,B
205,5779,23,19.0,89.0,25,19.0,10,15.0,1977,0.034656082,B,B,22,168,22,unknown,22,22,B
206,10262,12,13.0,90.0,unknown,22.0,17,22.0,1977,0.017647053,B,B,13,469,22,unknown,22,22,B
207,10762,55,23.0,91.0,19,18.0,13,25.0,196,0.012338886,B,B,15,5776,19,2078.0,13,15,B
208,9513,24,19.0,92.0,20,25.0,25,25.0,2000,22.0,B,B,36,6714,13,2672.0,22,13,B
209,11128,21,13.0,93.0,21,10.0,10,10.0,96,0.034331497,B,B,25,5487,23,unknown,22,15,B
210,2074,111,23.0,94.0,22,25.0,18,23.0,33,0.135649789,B,B,10,7960,18,350.0,23,21,B
211,933,10,19.0,95.0,unknown,19.0,24,22.0,1977,0.069753361,B,B,53,13670,15,unknown,19,21,B
212,2780,12,13.0,96.0,unknown,19.0,14,25.0,2019,0.072157581,B,B,13,629,19,unknown,22,22,A
213,6594,23,13.0,97.0,unknown,19.0,21,23.0,1977,0.034656082,B,B,22,168,22,unknown,22,22,B
214,15394,67,13.0,98.0,24,21.0,23,19.0,2014,0.0077202819999999,B,B,38,4788,13,unknown,22,15,B
215,14863,58,19.0,19.0,12,18.0,15,23.0,1981,0.43788524,B,B,23,5735,23,1084.0,22,10,B
216,6698,19,13.0,100.0,23,25.0,15,25.0,1990,0.025609157,B,B,23,5261,22,240.0,23,19,B
217,1611,86,23.0,101.0,29,10.0,25,25.0,33,0.161975568,B,A,31,7010,10,4508.0,23,25,B
218,174,25,13.0,102.0,30,10.0,15,10.0,156,0.035145267,B,B,25,9292,23,2620.0,22,23,B
219,5160,58,23.0,103.0,unknown,19.0,13,23.0,1977,0.43788524,B,B,23,5735,23,1084.0,22,10,B
220,3295,69,13.0,104.0,23,17.0,15,17.0,1982,0.093442564,B,B,23,4635,10,3300.0,13,15,B
221,4559,59,13.0,105.0,unknown,22.0,25,22.0,1977,0.019508796,B,B,37,7687,21,176.0,10,10,B
222,8254,29,13.0,106.0,10,10.0,10,10.0,59,0.086885265,B,B,17,2277,13,1547.0,22,22,B
223,10228,12,19.0,107.0,15,19.0,23,10.0,2014,0.211401214,B,B,25,1892,22,unknown,22,19,B
224,13924,25,19.0,108.0,unknown,19.0,13,19.0,1977,0.161531741,B,B,25,5648,19,30.0,13,15,B
225,15341,10,13.0,109.0,37,25.0,21,18.0,1999,0.090799103,B,B,74,19083,13,unknown,10,10,B
226,4353,19,13.0,110.0,unknown,19.0,23,25.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
227,4334,23,19.0,111.0,unknown,19.0,23,19.0,1977,0.034656082,B,B,22,168,22,unknown,22,22,B
228,1872,30,13.0,112.0,40,19.0,25,25.0,2016,7.81528e-05,B,B,22,6398,141,1046.0,23,23,B
229,7823,107,19.0,113.0,41,10.0,17,25.0,26,0.050272014,B,B,21,4231,24,1020.0,22,23,B
230,310,12,23.0,114.0,25,22.0,18,25.0,1977,0.072157581,B,B,13,629,19,unknown,22,22,A
231,3704,74,13.0,115.0,43,19.0,25,24.0,1977,0.075778755,B,B,18,1437,23,unknown,22,13,B
232,11615,24,19.0,116.0,44,22.0,18,10.0,2016,0.111627393,B,B,25,12238,14,26,13,23,B
233,6605,23,23.0,117.0,unknown,19.0,25,25.0,1977,0.075778755,B,B,18,1437,23,unknown,22,13,B
234,3381,25,13.0,118.0,10,14.0,21,24.0,1990,0.136244425,B,B,21,2370,22,unknown,22,19,B
235,2143,19,19.0,119.0,unknown,19.0,10,25.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
236,3191,91,23.0,120.0,24,25.0,14,23.0,1976,0.333891544,B,B,30,6564,19,unknown,22,22,B
237,13980,18,19.0,121.0,49,23.0,23,25.0,1977,0.243204519,B,B,10,1564,22,540.0,22,22,B
238,15613,23,19.0,122.0,25,10.0,13,10.0,26,0.135649789,B,B,10,7960,18,350.0,23,21,B
239,10943,172,23.0,123.0,51,18.0,19,25.0,75,22.0,B,B,25,1660,14,1786.0,19,10,B
240,9654,24,19.0,124.0,52,17.0,19,23.0,2018,0.23861713,B,B,24,3889,18,705.0,23,18,B
